Name,Kategorien,Adresse,Kontaktinformationen,Öffnungszeiten,Website URL,Beschreibung,Image Source URLs
Fruchteria,"Feinkost, Lebensmittel, Sonstiges, Souvenirartikel, Spirituosen","Nauwieser Straße 39, 66111 Saarbrücken",+49 681 95812521 ,"{""Montag"": ""12:00 - 18:00"", ""Dienstag"": ""12:00 - 18:00"", ""Mittwoch"": ""12:00 - 18:00"", ""Donnerstag"": ""12:00 - 18:00"", ""Freitag"": ""12:00 - 18:00"", ""Samstag"": ""Geschlossen"", ""Sonntag"": ""Geschlossen""}",http://www.fruchteria.de,null,"https://einkaufen.saarbruecken.de/cache/media/attachments/2020/02/75587_x_y_7d94ff_02.jpg, https://einkaufen.saarbruecken.de/cache/media/attachments/2020/02/75583_x_y_cf6247_02.jpg"
Monsieur Moden,"Bekleidung/Accessoires, Herrenmode, Herrenschuhe, Lederwaren, Sportausrüstung, Outdoor, Sportswear","Fröschengasse 8, 66111 Saarbrücken",+49 681 34112,"{""Montag"": ""11:00 - 19:00"", ""Dienstag"": ""11:00 - 19:00"", ""Mittwoch"": ""11:00 - 19:00"", ""Donnerstag"": ""11:00 - 19:00"", ""Freitag"": ""11:00 - 19:00"", ""Samstag"": ""11:00 - 18:00"", ""Sonntag"": ""Geschlossen""}",http://www.monsieur-moden.de,"Monsieur Moden Patricia Braun , das bedeutet Klassik mit Pfiff! Sie suchen exklusive Herrenmode, klassisch oder sportlich? Dann sind Sie bei Monsieur Moden in Saarbrücken am St. Johanner Markt genau richtig! Hier wird seit 1971 hochwertige Herrenmode mit außerordentlicher Qualität und Auswahl geboten. Das großzügige Sortiment umfasst alle Größen von Kleidergröße 46 bis 60. Bei Monsieur Moden sind Sie jederzeit mit Ihren Wünschen gut aufgehoben, überzeugen Sie sich selbst und kommen Sie nach Saarbrücken!","https://einkaufen.saarbruecken.de/cache/media/attachments/2024/01/108217_x_y_38dbb6_01.jpg, https://einkaufen.saarbruecken.de/cache/media/attachments/2024/01/108216_x_y_5926c0_01.jpg"
HaarCreativ UG,"Friseur, Gesundheit und Kosmetik","Neumarkt 4, 66117 Saarbrücken",+49 151 70323621,"{""Montag"": ""Geschlossen"", ""Dienstag"": ""10:00 - 18:00"", ""Mittwoch"": ""10:00 - 18:00"", ""Donnerstag"": ""13:00 - 18:00"", ""Freitag"": ""10:00 - 18:00"", ""Samstag"": ""Geschlossen"", ""Sonntag"": ""Geschlossen""}",https://haar-creativ-martina.de,null,null
Apollo Optik,"Brillen, Kontaktlinsen, Optiker, Gesundheit und Kosmetik","Bahnhofstraße 22-24, 66111 Saarbrücken",+49 681 3799408,"{""Montag"": ""10:00 - 19:00"", ""Dienstag"": ""10:00 - 19:00"", ""Mittwoch"": ""10:00 - 19:00"", ""Donnerstag"": ""10:00 - 19:00"", ""Freitag"": ""10:00 - 19:00"", ""Samstag"": ""10:00 - 18:00"", ""Sonntag"": ""Geschlossen""}",https://filialen.apollo.de/saarland/saarbruecken/bahnhofstr--22-24.html,"Apollo-Optik- Ihr Gleitsicht-Experte: Ob Brille, Gleitsichtbrille oder Kontaktlinsen. Bei Ihrem Apollo-Optiker erhalten Sie fachkundige Beratung.",null
Tanja P. Friseur & Wellness,"Friseur, Gesundheit und Kosmetik","Eisenbahnstraße 39, 66111 Saarbrücken",+49 681 9068553,"{""Montag"": ""Geschlossen"", ""Dienstag"": ""09:00 - 18:00"", ""Mittwoch"": ""09:00 - 18:00"", ""Donnerstag"": ""09:00 - 14:00"", ""Freitag"": ""09:00 - 18:00"", ""Samstag"": ""08:00 - 14:00"", ""Sonntag"": ""Geschlossen""}",null,null,null
Bilal Style Vintage,"Friseur, Gesundheit und Kosmetik","Eisenbahnstraße 23, 66117 Saarbrücken",+49 173 8835155,"{""Montag"": ""09:00 - 19:30"", ""Dienstag"": ""09:00 - 19:30"", ""Mittwoch"": ""09:00 - 19:30"", ""Donnerstag"": ""09:00 - 19:30"", ""Freitag"": ""09:00 - 19:30"", ""Samstag"": ""09:00 - 18:00"", ""Sonntag"": ""Geschlossen""}",null,null,null
Wind-Sport,"Bekleidung/Accessoires, Damenmode, Damenschuhe, Damenuhren, Herrenmode, Herrenschuhe, Herrenuhren, Kinderschuhe, Lederwaren, Rucksäcke & Taschen, Schmuck/Uhren, Schuhe, Snowboard, Skateboard, Sportausrüstung, Outdoor, Sportschuhe, Sportswear","Fröschengasse 4, 66111 Saarbrücken",+49 681 39204,"{""Montag"": ""10:00 - 19:00"", ""Dienstag"": ""10:00 - 19:00"", ""Mittwoch"": ""10:00 - 19:00"", ""Donnerstag"": ""10:00 - 19:00"", ""Freitag"": ""10:00 - 19:00"", ""Samstag"": ""10:00 - 19:00"", ""Sonntag"": ""Geschlossen""}",http://www.wind-sport.de,"Eine absolute Institution für alle Skate- und Snowboard-Liebhaber, die seit Jahren den Puls ihrer Kunden kennt. Ob die Riesenauswahl an Bekleidung , Schuhe, entsprechende Hardware oder schöne Accessoires, in dem sympathischen Shop im Herzen von Saarbrücken bleibt kein Wunsch offen. An Wind kommt man in diesem Bereich nicht vorbei. Auf zwei Etagen können die Kunden bei bester Beratung in einer lockeren Atmosphäre in aller Ruhe einkaufen und auch fachsimpeln.","https://einkaufen.saarbruecken.de/cache/media/attachments/2024/01/108214_x_y_2cc4cb_01.jpg, https://einkaufen.saarbruecken.de/cache/media/attachments/2024/01/108215_x_y_19729e_01.jpg"
Contigo Fairtrade Shop,"Bekleidung/Accessoires, Lebensmittel, Möbel & Haushaltswaren","St. Johanner Markt 27, 66111 Saarbrücken",+49 681 30984086,"{""Montag"": ""10:00 - 18:00"", ""Dienstag"": ""10:00 - 18:00"", ""Mittwoch"": ""10:00 - 18:00"", ""Donnerstag"": ""10:00 - 18:00"", ""Freitag"": ""10:00 - 18:00"", ""Samstag"": ""10:00 - 18:00"", ""Sonntag"": ""Geschlossen""}",http://www.saarbruecken.contigo.de,null,"https://einkaufen.saarbruecken.de/cache/media/attachments/2023/12/107980_x_y_edb31d_12.jpg, https://einkaufen.saarbruecken.de/cache/media/attachments/2023/12/107979_x_y_24dc0b_12.jpg"
Haar & Kosmetik Lillo,"Friseur, Gesundheit und Kosmetik, Pflege, Wellness","Berliner Promenade 17-19, 66111 Saarbrücken",+49 681 397817,"{""Montag"": ""Geschlossen"", ""Dienstag"": ""Geschlossen"", ""Mittwoch"": ""Geschlossen"", ""Donnerstag"": ""Geschlossen"", ""Freitag"": ""Geschlossen"", ""Samstag"": ""Geschlossen"", ""Sonntag"": ""Geschlossen""}",null,null,null
Fielmann,"Brillen, Kontaktlinsen, Optiker, Gesundheit und Kosmetik","Bahnhofstraße 61-63, 66111 Saarbrücken",+49 681 9388931,"{""Montag"": ""09:00 - 19:00"", ""Dienstag"": ""09:00 - 19:00"", ""Mittwoch"": ""09:00 - 19:00"", ""Donnerstag"": ""09:00 - 19:00"", ""Freitag"": ""09:00 - 19:00"", ""Samstag"": ""09:00 - 19:00"", ""Sonntag"": ""Geschlossen""}",http://www.fielmann.de,null,https://einkaufen.saarbruecken.de/cache/media/attachments/2020/04/76604_x_y_aa4d4b_04.jpg
Abele Optik,"Brillen, Kontaktlinsen, Optiker, Gesundheit und Kosmetik","Trierer Strasse 1, 66111 Saarbrücken",+49 681 76180401,"{""Montag"": ""09:30 - 20:00"", ""Dienstag"": ""09:30 - 20:00"", ""Mittwoch"": ""09:30 - 20:00"", ""Donnerstag"": ""09:30 - 20:00"", ""Freitag"": ""09:30 - 20:00"", ""Samstag"": ""09:30 - 20:00"", ""Sonntag"": ""Geschlossen""}",http://www.abele-optik.de/filialfinder/abele-optik-saarbruecken,"In der Europa-Galerie in Saarbrücken sind Sie seit 2010 bei Abele Optik immer bestens beraten. Service, Beratung und höchste Qualitätsansprüche sind die Leitgedanken unserer Firmenphilosophie. Unsere vielfältigen Serviceleistungen, wie zum Beispiel die kostenlose Refraktion (Sehstärkenbestimmung) beim Kauf einer Brille, sind überzeugend und machen den Unterschied. Fachliche Kompetenz gepaart mit modernster Technologie bei der Anpassung und Fertigung der Brille, gibt unseren Kunden die Gewissheit bei Abele Optik das Beste für Ihre Augen zu bekommen. Sie finden bei uns eine riesige Auswahl an modischen Brillenfassungen für Herren, Damen und Kinder und in unseren Kontaktlinsen Abteilungen beraten unsere Experten täglich rund um das Thema Kontaktlinsen.",null
Augenoptik- Hörgeräteakustik Nalbach GmbH,"Brillen, Kontaktlinsen, Optiker, Gesundheit und Kosmetik, Hörgeräte","Passagestraße 9, 66111 Saarbrücken",+49 681 390247,"{""Montag"": ""09:00 - 17:00"", ""Dienstag"": ""09:00 - 17:00"", ""Mittwoch"": ""09:00 - 17:00"", ""Donnerstag"": ""09:00 - 17:00"", ""Freitag"": ""09:00 - 17:00"", ""Samstag"": ""Geschlossen"", ""Sonntag"": ""Geschlossen""}",https://www.nalbach-sb.de/,null,null
OPTIK BRAUN by markus,"Brillen, Kontaktlinsen, Optiker, Gesundheit und Kosmetik","Berliner Promenade 12, 66111 Saarbrücken",+49 681 33790,"{""Montag"": ""09:00 - 18:00"", ""Dienstag"": ""09:00 - 18:00"", ""Mittwoch"": ""09:00 - 18:00"", ""Donnerstag"": ""09:00 - 18:00"", ""Freitag"": ""09:00 - 18:00"", ""Samstag"": ""10:00 - 16:00"", ""Sonntag"": ""Geschlossen""}",http://www.optiker-saarbruecken.de,null,null
Optik Link GmbH,"Bekleidung/Accessoires, Brillen, Kontaktlinsen, Optiker, Gesundheit und Kosmetik","Sulzbachstraße 7, 66111 Saarbrücken",+49 681 31774,"{""Montag"": ""09:30 - 18:00"", ""Dienstag"": ""09:30 - 18:00"", ""Mittwoch"": ""09:30 - 18:00"", ""Donnerstag"": ""09:30 - 18:00"", ""Freitag"": ""09:30 - 18:00"", ""Samstag"": ""10:00 - 16:00"", ""Sonntag"": ""Geschlossen""}",http://www.optik-link.de,null,null
eyes + more,"Brillen, Kontaktlinsen, Optiker, Gesundheit und Kosmetik","Trierer Straße 1, 66111 Saarbrücken",+49 681 75590276,"{""Montag"": ""09:30 - 20:00"", ""Dienstag"": ""09:30 - 20:00"", ""Mittwoch"": ""09:30 - 20:00"", ""Donnerstag"": ""09:30 - 20:00"", ""Freitag"": ""09:30 - 20:00"", ""Samstag"": ""09:30 - 20:00"", ""Sonntag"": ""Geschlossen""}",https://www.eyesandmore.de/optiker/saarbrucken/,null,null
Coiffeurteam Lieb,"Friseur, Gesundheit und Kosmetik, Pflege","Katholisch-Kirch-Straße 8, 66111 Saarbrücken",+49 681 33011,"{""Montag"": ""08:00 - 18:00"", ""Dienstag"": ""08:00 - 20:00"", ""Mittwoch"": ""08:00 - 20:00"", ""Donnerstag"": ""08:00 - 20:00"", ""Freitag"": ""08:00 - 20:00"", ""Samstag"": ""09:00 - 17:00"", ""Sonntag"": ""Geschlossen""}",http://www.coiffeurteam-lieb.de,null,null
die friseure Gaby und Steffi,"Fairtrade, Friseur, Gesundheit und Kosmetik, Lebensmittel, Pflege","Johannisstraße 11, 66111 Saarbrücken",+49 681 31706,"{""Montag"": ""Geschlossen"", ""Dienstag"": ""09:00 - 18:00"", ""Mittwoch"": ""09:00 - 18:00"", ""Donnerstag"": ""09:00 - 18:00"", ""Freitag"": ""09:00 - 18:00"", ""Samstag"": ""09:00 - 14:00"", ""Sonntag"": ""Geschlossen""}",null,null,null
Leder Spahn,"Bekleidung/Accessoires, Lederwaren","Bahnhofstraße 87, 66111 Saarbrücken",+49 681 389750,"{""Montag"": ""10:00 - 18:30"", ""Dienstag"": ""10:00 - 18:30"", ""Mittwoch"": ""10:00 - 18:30"", ""Donnerstag"": ""10:00 - 18:30"", ""Freitag"": ""10:00 - 18:30"", ""Samstag"": ""10:00 - 18:30"", ""Sonntag"": ""Geschlossen""}",http://www.leder-spahn.de,null,https://einkaufen.saarbruecken.de/cache/media/attachments/2013/10/120_x_y_c983c0_10.jpg
Rebirth Vintagestore,Bekleidung/Accessoires,"Fürstenstraße 3, 66111 Saarbrücken",null,"{""Montag"": ""Geschlossen"", ""Dienstag"": ""12:30 - 19:30"", ""Mittwoch"": ""12:30 - 19:30"", ""Donnerstag"": ""12:30 - 19:30"", ""Freitag"": ""12:30 - 19:30"", ""Samstag"": ""12:30 - 19:30"", ""Sonntag"": ""Geschlossen""}",http://www.rebirthonlineshop.com,null,"https://einkaufen.saarbruecken.de/cache/media/attachments/2023/12/107466_x_y_6f4547_12.jpg, https://einkaufen.saarbruecken.de/cache/media/attachments/2023/12/107464_x_y_2069d2_12.jpg"
Friseur Pur,"Friseur, Gesundheit und Kosmetik, Pflege, Wellness","Dudweilerstraße 22, 66111 Saarbrücken",+49 681 9068991,"{""Montag"": ""09:00 - 19:00"", ""Dienstag"": ""09:30 - 18:00"", ""Mittwoch"": ""09:30 - 19:00"", ""Donnerstag"": ""09:30 - 18:00"", ""Freitag"": ""09:30 - 19:00"", ""Samstag"": ""09:00 - 19:00"", ""Sonntag"": ""Geschlossen""}",null,null,null
HAUPTMEISTER Aveda Salon,"Friseur, Gesundheit und Kosmetik","Johannisstraße 14, 66111 Saarbrücken",+49 681 6867458,"{""Montag"": ""09:30 - 18:30"", ""Dienstag"": ""09:30 - 18:30"", ""Mittwoch"": ""09:30 - 19:30"", ""Donnerstag"": ""09:30 - 19:30"", ""Freitag"": ""10:30 - 19:30"", ""Samstag"": ""Geschlossen"", ""Sonntag"": ""Geschlossen""}",https://www.hauptmeister.com/,null,null
Chris Lewis,"Friseur, Gesundheit und Kosmetik, Pflege","Türkenstraße 4, 66111 Saarbrücken",+49 681 3904390,"{""Montag"": ""Geschlossen"", ""Dienstag"": ""09:00 - 18:00"", ""Mittwoch"": ""09:00 - 18:00"", ""Donnerstag"": ""09:00 - 18:00"", ""Freitag"": ""09:00 - 18:00"", ""Samstag"": ""09:00 - 13:00"", ""Sonntag"": ""Geschlossen""}",http://www.chris-lewis.de,null,null
Brillenlounge 24,"Brillen, Kontaktlinsen, Optiker, Gesundheit und Kosmetik","Mainzer Straße 73, 66121 Saarbrücken",+49 681 94065248,"{""Montag"": ""09:00 - 13:00 und 14:00 - 17:00"", ""Dienstag"": ""09:00 - 13:00 und 14:00 - 17:00"", ""Mittwoch"": ""Geschlossen"", ""Donnerstag"": ""09:00 - 13:00 und 14:00 - 17:00"", ""Freitag"": ""09:00 - 13:00 und 14:00 - 17:00"", ""Samstag"": ""Geschlossen"", ""Sonntag"": ""Geschlossen""}",https://brillenlounge24.store/brillenlounge24-saarbruecken,null,null
GIUSEPPE GENOVESE,"Friseur, Gesundheit und Kosmetik, Make-up, Pflege","Bleichstraße 29, 66111 Saarbrücken",+49 681 93884333,"{""Montag"": ""Geschlossen"", ""Dienstag"": ""09:00 - 18:00"", ""Mittwoch"": ""09:00 - 18:00"", ""Donnerstag"": ""10:00 - 19:00"", ""Freitag"": ""10:00 - 19:00"", ""Samstag"": ""09:00 - 16:00"", ""Sonntag"": ""Geschlossen""}",http://www.giuseppe-friseur.de,null,null
Richy Mode,"Änderungsschneiderei, Bekleidung/Accessoires, Damenmode, Damenschuhe, Herrenmode, Herrenschuhe, Lederwaren, Schuhe","Fürstenstraße 1, 66111 Saarbrücken",+49 681 31545,"{""Montag"": ""10:00 - 19:00"", ""Dienstag"": ""10:00 - 19:00"", ""Mittwoch"": ""10:00 - 19:00"", ""Donnerstag"": ""10:00 - 19:00"", ""Freitag"": ""10:00 - 19:00"", ""Samstag"": ""10:00 - 18:00"", ""Sonntag"": ""Geschlossen""}",http://www.richymode.de,"Richy Mode bietet einen Online-Shop an. Seit 1972 bringt das Familienunternehmen ""Richy Mode"" die neusten Fashion-Trends nach Saarbrücken. Unser Einkaufsteam ist auf den großen Schauen der Mode-Metropolen unterwegs. Neue Looks, angesagte Trends und klassische Evergreens kommen bei uns nur in Top-Qualität in die Tüte! Auf 600 qm finden Frauen und Männer in unseren Läden in der Fürstenstraße Bekleidung, Accessoires, Schuhe und Luxustaschen von Top-Labels wie Prada, Etro, Dsquared2, J Brand und viele mehr. Das gesamte Team freut sich auf Ihren Besuch!","https://einkaufen.saarbruecken.de/cache/media/attachments/2013/10/133_x_y_eee385_10.jpg, https://einkaufen.saarbruecken.de/cache/media/attachments/2013/10/132_x_y_a87bdd_10.jpg"
Arndt-Apotheke,Apotheke,"Mainzer Straße 105, 66121 Saarbrücken",+49 681 64587,"{""Montag"": ""08:00 - 18:15"", ""Dienstag"": ""08:00 - 18:15"", ""Mittwoch"": ""08:00 - 18:15"", ""Donnerstag"": ""08:00 - 18:15"", ""Freitag"": ""08:00 - 18:15"", ""Samstag"": ""08:30 - 13:00"", ""Sonntag"": ""Geschlossen""}",https://www.apotheken.de/66121/saarbruecken/arndt-apotheke,null,null
Ace of Cuts,"Friseur, Gesundheit und Kosmetik","Fürstenstraße 1b, 66111 Saarbrücken",+49 681 59097002,"{""Montag"": ""Geschlossen"", ""Dienstag"": ""09:00 - 18:00"", ""Mittwoch"": ""09:00 - 18:00"", ""Donnerstag"": ""09:00 - 18:00"", ""Freitag"": ""11:00 - 20:00"", ""Samstag"": ""09:00 - 16:00"", ""Sonntag"": ""Geschlossen""}",null,null,null
Kraus GmbH Internationales Haardesign,"Friseur, Gesundheit und Kosmetik","Kappenstraße 10, 66111 Saarbrücken",+49 681 371181,"{""Montag"": ""Geschlossen"", ""Dienstag"": ""Geschlossen"", ""Mittwoch"": ""Geschlossen"", ""Donnerstag"": ""Geschlossen"", ""Freitag"": ""Geschlossen"", ""Samstag"": ""Geschlossen"", ""Sonntag"": ""Geschlossen""}",null,null,null
Essanelle,"Friseur, Gesundheit und Kosmetik, Pflege","Trierer Strasse 1, 66111 Saarbrücken",+49 681 75590182,"{""Montag"": ""09:30 - 20:00"", ""Dienstag"": ""09:30 - 20:00"", ""Mittwoch"": ""09:30 - 20:00"", ""Donnerstag"": ""09:30 - 20:00"", ""Freitag"": ""09:30 - 20:00"", ""Samstag"": ""09:30 - 20:00"", ""Sonntag"": ""Geschlossen""}",http://www.essanelle.de,"Wir sind stolz auf unsere Tradition, Geschichte und das Handwerk unserer über 1.600. Mitarbeiter aus 45 unterschiedlichen Nationen und unsere höchste Priorität ist es, unseren Gästen immer eine persönliche Beratung zu bieten, mit einem auf den Gast abgestimmten Haarschnitt, individuellen Colorationen und einem typgerechten Styling. Unsere Salonteams freuen sich auf Ihren Besuch!",null
Toni & Guy,"Friseur, Gesundheit und Kosmetik","Bahnhofstraße 101, 66111 Saarbrücken",+49 681 9381880,"{""Montag"": ""09:00 - 19:00"", ""Dienstag"": ""09:00 - 19:00"", ""Mittwoch"": ""09:00 - 19:00"", ""Donnerstag"": ""09:00 - 19:00"", ""Freitag"": ""09:00 - 19:00"", ""Samstag"": ""09:00 - 16:00"", ""Sonntag"": ""Geschlossen""}",null,null,null
Oranje Blumen,"Blumen, Pflanzen","Bahnhofstraße 70, 66111 Saarbrücken",+49 681 93627878,"{""Montag"": ""10:00 - 20:00"", ""Dienstag"": ""10:00 - 20:00"", ""Mittwoch"": ""10:00 - 20:00"", ""Donnerstag"": ""10:00 - 20:00"", ""Freitag"": ""10:00 - 20:00"", ""Samstag"": ""10:00 - 20:00"", ""Sonntag"": ""Geschlossen""}",https://www.oranjeblumen.com/,null,"https://einkaufen.saarbruecken.de/cache/media/attachments/2018/10/63314_x_y_6b99b2_10.jpg, https://einkaufen.saarbruecken.de/cache/media/attachments/2018/10/63316_x_y_91e978_10.jpg, https://einkaufen.saarbruecken.de/cache/media/attachments/2018/10/63313_x_y_f869dc_10.jpg, https://einkaufen.saarbruecken.de/cache/media/attachments/2018/10/63321_x_y_7f656e_10.jpg"
