Name,Kategorien,Adresse,Kontaktinformationen,Öffnungszeiten,Website URL,Beschreibung,Image Source URLs,Sonstiges
Apollo Optik,"Brillen, Kontaktlinsen, Optiker, Gesundheit und Kosmetik","Bahnhofstraße 22-24, 66111 Saarbrücken",+49 681 3799408,"{""Montag"": ""Geschlossen"", ""Dienstag"": ""Geschlossen"", ""Mittwoch"": ""Geschlossen"", ""Donnerstag"": ""Geschlossen"", ""Freitag"": ""Geschlossen"", ""Samstag"": ""Geschlossen"", ""Sonntag"": ""Geschlossen""}",https://filialen.apollo.de/saarland/saarbruecken/bahnhofstr--22-24.html,"Apollo-Optik- Ihr Gleitsicht-Experte: Ob Brille, Gleitsichtbrille oder Kontaktlinsen. Bei Ihrem Apollo-Optiker erhalten Sie fachkundige Beratung.",null,null
Tanja P. Friseur & Wellness,"Friseur, Gesundheit und Kosmetik","Eisenbahnstraße 39, 66111 Saarbrücken",+49 681 9068553,"{""Montag"": ""Geschlossen"", ""Dienstag"": ""Geschlossen"", ""Mittwoch"": ""Geschlossen"", ""Donnerstag"": ""Geschlossen"", ""Freitag"": ""Geschlossen"", ""Samstag"": ""Geschlossen"", ""Sonntag"": ""Geschlossen""}",null,null,null,null
Bilal Style Vintage,"Friseur, Gesundheit und Kosmetik","Eisenbahnstraße 23, 66117 Saarbrücken",+49 173 8835155,"{""Montag"": ""Geschlossen"", ""Dienstag"": ""Geschlossen"", ""Mittwoch"": ""Geschlossen"", ""Donnerstag"": ""Geschlossen"", ""Freitag"": ""Geschlossen"", ""Samstag"": ""Geschlossen"", ""Sonntag"": ""Geschlossen""}",null,null,null,null
Wind-Sport,"Bekleidung/Accessoires, Damenmode, Damenschuhe, Damenuhren, Herrenmode, Herrenschuhe, Herrenuhren, Kinderschuhe, Lederwaren, Rucksäcke & Taschen, Schmuck/Uhren, Schuhe, Snowboard, Skateboard, Sportausrüstung, Outdoor, Sportschuhe, Sportswear","Fröschengasse 4, 66111 Saarbrücken",+49 681 39204,"{""Montag"": ""Geschlossen"", ""Dienstag"": ""Geschlossen"", ""Mittwoch"": ""Geschlossen"", ""Donnerstag"": ""Geschlossen"", ""Freitag"": ""Geschlossen"", ""Samstag"": ""Geschlossen"", ""Sonntag"": ""Geschlossen""}",http://www.wind-sport.de,"Eine absolute Institution für alle Skate- und Snowboard-Liebhaber, die seit Jahren den Puls ihrer Kunden kennt. Ob die Riesenauswahl an Bekleidung , Schuhe, entsprechende Hardware oder schöne Accessoires, in dem sympathischen Shop im Herzen von Saarbrücken bleibt kein Wunsch offen. An Wind kommt man in diesem Bereich nicht vorbei. Auf zwei Etagen können die Kunden bei bester Beratung in einer lockeren Atmosphäre in aller Ruhe einkaufen und auch fachsimpeln.","https://einkaufen.saarbruecken.de/cache/media/attachments/2024/01/108214_x_y_2cc4cb_01.jpg, https://einkaufen.saarbruecken.de/cache/media/attachments/2024/01/108215_x_y_19729e_01.jpg",null
Contigo Fairtrade Shop,"Bekleidung/Accessoires, Lebensmittel, Möbel & Haushaltswaren","St. Johanner Markt 27, 66111 Saarbrücken",+49 681 30984086,"{""Montag"": ""Geschlossen"", ""Dienstag"": ""Geschlossen"", ""Mittwoch"": ""Geschlossen"", ""Donnerstag"": ""Geschlossen"", ""Freitag"": ""Geschlossen"", ""Samstag"": ""Geschlossen"", ""Sonntag"": ""Geschlossen""}",http://www.saarbruecken.contigo.de,null,"https://einkaufen.saarbruecken.de/cache/media/attachments/2023/12/107980_x_y_edb31d_12.jpg, https://einkaufen.saarbruecken.de/cache/media/attachments/2023/12/107979_x_y_24dc0b_12.jpg",null
Haar & Kosmetik Lillo,"Friseur, Gesundheit und Kosmetik, Pflege, Wellness","Berliner Promenade 17-19, 66111 Saarbrücken",+49 681 397817,"{""Montag"": ""Geschlossen"", ""Dienstag"": ""Geschlossen"", ""Mittwoch"": ""Geschlossen"", ""Donnerstag"": ""Geschlossen"", ""Freitag"": ""Geschlossen"", ""Samstag"": ""Geschlossen"", ""Sonntag"": ""Geschlossen""}",null,null,null,null
Fielmann,"Brillen, Kontaktlinsen, Optiker, Gesundheit und Kosmetik","Bahnhofstraße 61-63, 66111 Saarbrücken",+49 681 9388931,"{""Montag"": ""Geschlossen"", ""Dienstag"": ""Geschlossen"", ""Mittwoch"": ""Geschlossen"", ""Donnerstag"": ""Geschlossen"", ""Freitag"": ""Geschlossen"", ""Samstag"": ""Geschlossen"", ""Sonntag"": ""Geschlossen""}",http://www.fielmann.de,null,https://einkaufen.saarbruecken.de/cache/media/attachments/2020/04/76604_x_y_aa4d4b_04.jpg,null
APTE! Fashion,"Bekleidung/Accessoires, Damenmode, Damenschmuck, Damenschuhe, Herrenmode, Herrenschmuck, Herrenschuhe, Lederwaren, Schmuck/Uhren, Schuhe","Fröschengasse 19, 66111 Saarbrücken",+49 681 3838191,"{""Montag"": ""Geschlossen"", ""Dienstag"": ""Geschlossen"", ""Mittwoch"": ""Geschlossen"", ""Donnerstag"": ""Geschlossen"", ""Freitag"": ""Geschlossen"", ""Samstag"": ""Geschlossen"", ""Sonntag"": ""Geschlossen""}",http://www.aptefashion.com,null,"https://einkaufen.saarbruecken.de/cache/media/attachments/2023/12/107970_x_y_764d9e_12.jpg, https://einkaufen.saarbruecken.de/cache/media/attachments/2023/12/107969_x_y_d2290d_12.jpg",null
CB Parfümerie,"Düfte, Gesundheit und Kosmetik, Make-up, Naturkosmetik, Parfümerie, Drogerie, Pflege","Fürstenstraße 7, 66111 Saarbrücken", +49 6848 700425,"{""Montag"": ""Geschlossen"", ""Dienstag"": ""Geschlossen"", ""Mittwoch"": ""Geschlossen"", ""Donnerstag"": ""Geschlossen"", ""Freitag"": ""Geschlossen"", ""Samstag"": ""Geschlossen"", ""Sonntag"": ""Geschlossen""}",http://www.parfuemerie-cb.de,null,"https://einkaufen.saarbruecken.de/cache/media/attachments/2023/12/107977_x_y_d5462a_12.jpg, https://einkaufen.saarbruecken.de/cache/media/attachments/2023/12/107978_x_y_24bd70_12.jpg",null
Fifty-6,Schuhe,"Bahnhofstr. 1-3, 66111 Saarbrücken",+49 681 93839746,"{""Montag"": ""Geschlossen"", ""Dienstag"": ""Geschlossen"", ""Mittwoch"": ""Geschlossen"", ""Donnerstag"": ""Geschlossen"", ""Freitag"": ""Geschlossen"", ""Samstag"": ""Geschlossen"", ""Sonntag"": ""Geschlossen""}",null,Fifty-6 bringt eine Auswahl der neuesten Schuh-Trends für Damen und Herren nach Saarbrücken.,"https://einkaufen.saarbruecken.de/cache/media/attachments/2024/01/108226_x_y_b0114a_01.jpg, https://einkaufen.saarbruecken.de/cache/media/attachments/2024/01/108228_x_y_212736_01.jpg",null
Brot & Sinne,"Bäckerei, Lebensmittel","Kaltenbachstraße 6, 66111 Saarbrücken",+49 681 98805344,"{""Montag"": ""Geschlossen"", ""Dienstag"": ""Geschlossen"", ""Mittwoch"": ""Geschlossen"", ""Donnerstag"": ""Geschlossen"", ""Freitag"": ""Geschlossen"", ""Samstag"": ""Geschlossen"", ""Sonntag"": ""Geschlossen""}",null,null,"https://einkaufen.saarbruecken.de/cache/media/attachments/2024/04/110801_x_y_af2eee_04.jpg, https://einkaufen.saarbruecken.de/cache/media/attachments/2024/04/110802_x_y_a7c797_04.jpg",null
Mister Spex,"Brillen, Kontaktlinsen, Optiker, Gesundheit und Kosmetik","Trierer Straße 1, 66111 Saarbrücken",08007242007,"{""Montag"": ""Geschlossen"", ""Dienstag"": ""Geschlossen"", ""Mittwoch"": ""Geschlossen"", ""Donnerstag"": ""Geschlossen"", ""Freitag"": ""Geschlossen"", ""Samstag"": ""Geschlossen"", ""Sonntag"": ""Geschlossen""}",http://www.misterspex.de,null,null,null
Opticland die Brille,"Brillen, Kontaktlinsen, Optiker, Gesundheit und Kosmetik","Dudweilerstraße 2, 66111 Saarbrücken",+49 0681 399100,"{""Montag"": ""Geschlossen"", ""Dienstag"": ""Geschlossen"", ""Mittwoch"": ""Geschlossen"", ""Donnerstag"": ""Geschlossen"", ""Freitag"": ""Geschlossen"", ""Samstag"": ""Geschlossen"", ""Sonntag"": ""Geschlossen""}",http://www.opticland-die-brille.de,null,null,null
TOM|CO. Friseure + Kosmetik,"Friseur, Gesundheit und Kosmetik","Kaiserstraße 15, 66111 Saarbrücken",+49 681 9104077,"{""Montag"": ""Geschlossen"", ""Dienstag"": ""Geschlossen"", ""Mittwoch"": ""Geschlossen"", ""Donnerstag"": ""Geschlossen"", ""Freitag"": ""Geschlossen"", ""Samstag"": ""Geschlossen"", ""Sonntag"": ""Geschlossen""}",https://www.tomco.de/salons/friseur-saarbruecken/,null,null,null
Bock & Seip,"Basteln, Malen, Geschenkartikel, Bücher, Musik, Filme, Computer-Software, Elektronik, Computer, Fachbücher, Fairtrade, Film, Futtermarkt, Lebensmittel, Musik, Sachbücher, Schreibwaren/Bürobedarf, Schulbücher, Spiele & Puzzle, Spielwaren, Zeitschriften","Futterstraße 2, 66111 Saarbrücken",+49 681 306770,"{""Montag"": ""Geschlossen"", ""Dienstag"": ""Geschlossen"", ""Mittwoch"": ""Geschlossen"", ""Donnerstag"": ""Geschlossen"", ""Freitag"": ""Geschlossen"", ""Samstag"": ""Geschlossen"", ""Sonntag"": ""Geschlossen""}",http://www.bock-seip.de,null,"https://einkaufen.saarbruecken.de/cache/media/attachments/2023/12/107975_x_y_473562_12.jpg, https://einkaufen.saarbruecken.de/cache/media/attachments/2023/12/107974_x_y_e949bb_12.jpg",null
Pro Duo,"Friseur, Gesundheit und Kosmetik, Pflege","Viktoriastraße 10, 66111 Saarbrücken",+49 681 9383985 ,"{""Montag"": ""Geschlossen"", ""Dienstag"": ""Geschlossen"", ""Mittwoch"": ""Geschlossen"", ""Donnerstag"": ""Geschlossen"", ""Freitag"": ""Geschlossen"", ""Samstag"": ""Geschlossen"", ""Sonntag"": ""Geschlossen""}",null,null,null,null
Friseursalon Salem Zen,"Friseur, Gesundheit und Kosmetik","Cecilienstraße 3, 66111 Saarbrücken",+49 681 68604826,"{""Montag"": ""Geschlossen"", ""Dienstag"": ""Geschlossen"", ""Mittwoch"": ""Geschlossen"", ""Donnerstag"": ""Geschlossen"", ""Freitag"": ""Geschlossen"", ""Samstag"": ""Geschlossen"", ""Sonntag"": ""Geschlossen""}",null,null,null,null
The Broom,"Heimtextil, Lampen & Leuchten, Möbel & Haushaltswaren, Sonstiges, Wohnen & Einrichten","Fröschengasse 14, 66111 Saarbrücken",+49 1777936743,"{""Montag"": ""Geschlossen"", ""Dienstag"": ""Geschlossen"", ""Mittwoch"": ""Geschlossen"", ""Donnerstag"": ""Geschlossen"", ""Freitag"": ""Geschlossen"", ""Samstag"": ""Geschlossen"", ""Sonntag"": ""Geschlossen""}",null,null,https://einkaufen.saarbruecken.de/cache/media/attachments/2023/11/107209_x_y_211215_11.jpg,null
Parfümerie Douglas,"Düfte, Friseur, Gesundheit und Kosmetik, Make-up, Nail Art, Naturkosmetik, Parfümerie, Drogerie, Pflege, Wellness","Bahnhofstraße 47, 66111 Saarbrücken",Filiale: +49 681 36970 -------     Douglas HairDesign : +49 681 906626,"{""Montag"": ""Geschlossen"", ""Dienstag"": ""Geschlossen"", ""Mittwoch"": ""Geschlossen"", ""Donnerstag"": ""Geschlossen"", ""Freitag"": ""Geschlossen"", ""Samstag"": ""Geschlossen"", ""Sonntag"": ""Geschlossen""}",http://www.douglas.de,null,https://einkaufen.saarbruecken.de/cache/media/attachments/2018/09/63014_x_y_e6771f_09.jpg,null
L'tur Reise Shop Saarbrücken,Sonstiges,"St. Johanner Markt 28, 66111 Saarbrücken",+49 681 99 30 58 ,"{""Montag"": ""Geschlossen"", ""Dienstag"": ""Geschlossen"", ""Mittwoch"": ""Geschlossen"", ""Donnerstag"": ""Geschlossen"", ""Freitag"": ""Geschlossen"", ""Samstag"": ""Geschlossen"", ""Sonntag"": ""Geschlossen""}",http://www.ltur-saarbruecken.de,null,"https://einkaufen.saarbruecken.de/cache/media/attachments/2018/06/60814_x_y_ec207b_06.jpg, https://einkaufen.saarbruecken.de/cache/media/attachments/2018/06/60815_x_y_11a547_06.jpg, https://einkaufen.saarbruecken.de/cache/media/attachments/2015/10/35102_x_y_cff981_10.jpg",null
Bentz,"Bekleidung/Accessoires, Damenmode, Damenschuhe, Herrenmode, Herrenschuhe, Schuhe","Bahnhofstraße 28, 66111 Saarbrücken",+49 681 35594,"{""Montag"": ""Geschlossen"", ""Dienstag"": ""Geschlossen"", ""Mittwoch"": ""Geschlossen"", ""Donnerstag"": ""Geschlossen"", ""Freitag"": ""Geschlossen"", ""Samstag"": ""Geschlossen"", ""Sonntag"": ""Geschlossen""}",https://bentz-saarbruecken.de/,"Unsere Idee ist es, Menschen im Alltag, am Arbeitsplatz, in ihrer Freizeit und abends - frei von äußerlichen Zwängen mit individueller Lässigkeit zu kleiden. Unsere Mode, international führender Marken, ist exklusiv, klassisch, leger und nicht überspannt. In unserer Forderung nach höchster Qualität sind wir kompromisslos. Unseren Kunden bieten wir ein Einkaufserlebnis in sehr natürlicher und familiärer Atmosphäre. Schauen Sie gerne vorbei - wir freuen uns auf Ihren Besuch!","https://einkaufen.saarbruecken.de/cache/media/attachments/2023/08/103724_x_y_28c373_08.jpg, https://einkaufen.saarbruecken.de/cache/media/attachments/2023/08/103725_x_y_58a630_08.jpg, https://einkaufen.saarbruecken.de/cache/media/attachments/2023/08/103718_x_y_c41239_08.jpg",null
Richy Mode,"Änderungsschneiderei, Bekleidung/Accessoires, Damenmode, Damenschuhe, Herrenmode, Herrenschuhe, Lederwaren, Schuhe","Fürstenstraße 1, 66111 Saarbrücken",+49 681 31545,"{""Montag"": ""Geschlossen"", ""Dienstag"": ""Geschlossen"", ""Mittwoch"": ""Geschlossen"", ""Donnerstag"": ""Geschlossen"", ""Freitag"": ""Geschlossen"", ""Samstag"": ""Geschlossen"", ""Sonntag"": ""Geschlossen""}",http://www.richymode.de,"Richy Mode bietet einen Online-Shop an. Seit 1972 bringt das Familienunternehmen ""Richy Mode"" die neusten Fashion-Trends nach Saarbrücken. Unser Einkaufsteam ist auf den großen Schauen der Mode-Metropolen unterwegs. Neue Looks, angesagte Trends und klassische Evergreens kommen bei uns nur in Top-Qualität in die Tüte! Auf 600 qm finden Frauen und Männer in unseren Läden in der Fürstenstraße Bekleidung, Accessoires, Schuhe und Luxustaschen von Top-Labels wie Prada, Etro, Dsquared2, J Brand und viele mehr. Das gesamte Team freut sich auf Ihren Besuch!","https://einkaufen.saarbruecken.de/cache/media/attachments/2013/10/133_x_y_eee385_10.jpg, https://einkaufen.saarbruecken.de/cache/media/attachments/2013/10/132_x_y_a87bdd_10.jpg",null
ROTERFADEN,"Bekleidung/Accessoires, Bücher, Musik, Filme, Computer-Hardware, Elektronik, Computer, Handy & Telefonie, Lederwaren, Notebooks & Tablets, Schreibwaren/Bürobedarf","Rosenstraße 11, 66111 Saarbrücken",+49 681 9590502,"{""Montag"": ""Geschlossen"", ""Dienstag"": ""Geschlossen"", ""Mittwoch"": ""Geschlossen"", ""Donnerstag"": ""Geschlossen"", ""Freitag"": ""Geschlossen"", ""Samstag"": ""Geschlossen"", ""Sonntag"": ""Geschlossen""}",https://roterfaden.de,"Weltweit vertreten, im Saarland zuhause: ROTERFADEN fertigt und vertreibt den TASCHENBEGLEITER, eine Mappe mit einem patentierten Klammermechanismus zur Befestigung aller Hefte und aller losen Papiere: Ein freier Organiser. Dabei kommen neben vegetabilem Leder und Wollfilz unkonventionelle Materialien wie Tanzboden oder Drucktuch zum Einsatz. Vor Ort finden Kunden zahlreiche Beispiele von Taschenbegleitern - wer möchte, kann sein persönliches Exemplar auch selbst gestalten. ROTERFADEN Design entwickelt zudem weitere hochwertige Lederwaren wie Hüllen für Smartphones und Tablets. Dabei sind Maßanfertigungen ebenfalls auf der Tagesordnung. Das Geschäft führt Jahreskalender, Kalender für Lehrerinnen und Lehrer, Notizhefte und Skizzenhefte aus dem zum TASCHENBEGLEITER passenden Heftsortiment. ROTERFADEN fertigt zu 100 Prozent in deutscher Manufaktur - und zu 95 Prozent im Saarland.","https://einkaufen.saarbruecken.de/cache/media/attachments/2014/03/429_x_y_21d13a_03.jpg, https://einkaufen.saarbruecken.de/cache/media/attachments/2014/03/431_x_y_5b6c33_03.jpg, https://einkaufen.saarbruecken.de/cache/media/attachments/2014/03/430_x_y_fcb034_03.jpg, https://einkaufen.saarbruecken.de/cache/media/attachments/2014/03/432_x_y_3ac0aa_03.jpg",null
Dalay Zigarren,"Lebensmittel, Spirituosen, Tabak","Fürstenstraße 15, 66111 Saarbrücken",+49 681 5898509,"{""Montag"": ""Geschlossen"", ""Dienstag"": ""Geschlossen"", ""Mittwoch"": ""Geschlossen"", ""Donnerstag"": ""Geschlossen"", ""Freitag"": ""Geschlossen"", ""Samstag"": ""Geschlossen"", ""Sonntag"": ""Geschlossen""}",http://www.dalayzigarren.de,null,"https://einkaufen.saarbruecken.de/cache/media/attachments/2013/11/152_x_y_f8fe69_11.jpg, https://einkaufen.saarbruecken.de/cache/media/attachments/2013/11/153_x_y_fac6a3_11.jpg",null
Swarovski,Schmuck/Uhren,"Trierer Strasse 1, 66111 Saarbrücken",+49 681 76166490,"{""Montag"": ""Geschlossen"", ""Dienstag"": ""Geschlossen"", ""Mittwoch"": ""Geschlossen"", ""Donnerstag"": ""Geschlossen"", ""Freitag"": ""Geschlossen"", ""Samstag"": ""Geschlossen"", ""Sonntag"": ""Geschlossen""}",http://www.swarovski.com,null,null,null
